stage,architecture,detector_seed,arm,fit_role,C,validation_AP,test_AP,n_iter,convergence_warning,hit_max_iter,converged,coef_sha256,intercept_sha256
s2,xlstm,11,H+O1r+I,validation_candidate,0.01,0.9432686684615038,,416,False,False,True,5f702cb087c90f5634fb61a69f5498d13d42b68d319b4325390c9e464261d4bf,f4249c775aa0e0719dc9c64b59619b60c0f1403787b5486610df1495ed0993a2
s2,xlstm,11,H+O1r+I,validation_candidate,0.1,0.9423249233109093,,915,False,False,True,fa86d4c77892d2926e1e355e482954fef0e64215b0d836751e24dfb673463c33,bf4cd8401cf0bac88146fa7afff5f488ab2c9cbdeda63de7173d21ca621394fd
s2,xlstm,11,H+O1r+I,validation_candidate,1.0,0.9410346773889939,,1879,False,False,True,a7649a5ac527bd67bc6ccb7f3912200025b67542b466bd0c1076cadcd30b5305,56fecef591e6b3cef7b92841d9f78d2fd68b06087abae13a9a5d2d16bfdd3e8c
s2,xlstm,11,H+O1r+I,validation_candidate,10.0,0.9404480561376125,,2466,False,False,True,1f88bc1407633bfe2e337b2b411a95cc1c7fad9a8930fbe9fbc97a444d239036,970eac4d6359fcd40a2815bbc4513e6db14234da9a9aaf54cdbf2c1003459518
s2,xlstm,11,H+O1r+I,validation_candidate,100.0,0.9401508490057882,,2457,False,False,True,de6402ce08bfd55baf31720f1a843233d58efa72721cb408ece4e9f0c9ee1f27,e282028e9c233425ec2cadd062de3e10d307a1226fb007bd27a567cfc68d0f02
s2,xlstm,11,H+O1r+I,selected_final,0.01,0.9432686684615038,0.9347498354884489,416,False,False,True,5f702cb087c90f5634fb61a69f5498d13d42b68d319b4325390c9e464261d4bf,f4249c775aa0e0719dc9c64b59619b60c0f1403787b5486610df1495ed0993a2
s2,xlstm,22,H+O1r,validation_candidate,0.001,0.9023463491733761,,219,False,False,True,4f7a9d99b5ed7285dc5735333f6fbcd9d40eee0bf35b09eef8fa1f594e80fe52,8821c5796a75993e23af907172d1541fd899b4fce9a4ce13c8690daf31cd3f97
s2,xlstm,22,H+O1r,validation_candidate,0.01,0.9057190525725729,,533,False,False,True,65f0f8ed698139f6eeca25b5715b7d4ab33f31908592b4dd83957f38e26871fc,dbe5c5997520d30efbc6f70675cf49db56a280ac7d4c028f5010030230d77b36
s2,xlstm,22,H+O1r,validation_candidate,0.1,0.9098105582088429,,1213,False,False,True,66af8f1c52fcc67d47057d35941e9139ddc7c3fd7595e946e7ba929cbf240397,e2f449b1635fada41c97dd2f791cda23235ea603e50d5ac4941b4b4c3e17e8e2
s2,xlstm,22,H+O1r,validation_candidate,1.0,0.9141088458109194,,2108,False,False,True,f3b59d0c081355eade69a36ea434af8511837be6d98cd73759cc6b85a017ea32,436df4bebf510d324bf56aebfa7d5734d3c609e87523c129ca4c58de7c65e2e6
